# Re=40k
   0.00000000000000      -0.00000000000000       0.00000000000000       0.00000000000000    
  0.234999999520369E-03 -0.343496873974800E-01  0.399326336264494E-05  0.202501832973212E-04
  0.469999999040738E-03 -0.686307549476624E-01  0.165231558639789E-04  0.565740483580157E-04
  0.705000013113022E-03 -0.102803438901901      0.794279549154453E-04  0.258693995419890E-03
  0.939999998081475E-03 -0.136938214302063      0.159940929734148E-03  0.518766755703837E-03
  0.117499998304993E-02 -0.170718610286713      0.296863086987287E-03  0.787911878433079E-03
  0.141000002622604E-02 -0.203991010785103      0.514640763867646E-03  0.107006123289466E-02
  0.164499995298684E-02 -0.237263411283493      0.732418382540345E-03  0.135221041273326E-02
  0.187999999616295E-02 -0.269136250019073      0.105847581289709E-02  0.159577955491841E-02
  0.211500003933907E-02 -0.299576282501221      0.149538251571357E-02  0.179985305294394E-02
  0.234999996609986E-02 -0.330016314983368      0.193228910211474E-02  0.200392655096948E-02
  0.258499989286065E-02 -0.359292984008789      0.238816789351404E-02  0.223150593228638E-02
  0.282000005245209E-02 -0.384110629558563      0.291676702909172E-02  0.254918448626995E-02
  0.305499997921288E-02 -0.408928275108337      0.344536593183875E-02  0.286686234176159E-02
  0.328999990597367E-02 -0.433745890855789      0.397396460175514E-02  0.318454043008387E-02
  0.352500006556511E-02 -0.454074025154114      0.442407000809908E-02  0.351448892615735E-02
  0.375999999232590E-02 -0.473230898380279      0.485369656234980E-02  0.384763814508915E-02
  0.399499991908669E-02 -0.492387741804123      0.528332311660051E-02  0.418078759685159E-02
  0.423000007867813E-02 -0.509637653827667      0.565786985680461E-02  0.451678130775690E-02
  0.446499977260828E-02 -0.525024652481079      0.597861222922802E-02  0.485555361956358E-02
  0.469999993219972E-02 -0.540411770343781      0.629935553297400E-02  0.519432593137026E-02
  0.493500009179115E-02 -0.554370701313019      0.657572969794273E-02  0.554027082398534E-02
  0.516999978572130E-02 -0.567333281040192      0.682114949449897E-02  0.589121878147125E-02
  0.540499994531274E-02 -0.579930961132050      0.705542741343379E-02  0.624467059969902E-02
  0.564000010490417E-02 -0.591484665870667      0.725782802328467E-02  0.660528428852558E-02
  0.587499979883432E-02 -0.602543771266937      0.744528602808714E-02  0.696935644373298E-02
  0.610999995842576E-02 -0.612803995609283      0.760903861373663E-02  0.733919721096754E-02
  0.634500011801720E-02 -0.622656941413879      0.776090053841472E-02  0.771190878003836E-02
  0.657999981194735E-02 -0.631848871707916      0.789392832666636E-02  0.808921549469233E-02
  0.681499997153878E-02 -0.640809893608093      0.802037306129932E-02  0.846812967211008E-02
  0.705000013113022E-02 -0.649363398551941      0.813564844429493E-02  0.884987320750952E-02
  0.728499982506037E-02 -0.657332956790924      0.823491532355547E-02  0.923566892743111E-02
  0.751999998465180E-02 -0.665302574634552      0.833418220281601E-02  0.962146557867527E-02
  0.775500014424324E-02 -0.672808349132538      0.842139311134815E-02  0.100105451419949E-01
  0.798999983817339E-02 -0.679839313030243      0.849626399576664E-02  0.104029830545187E-01
  0.822500046342611E-02 -0.686870336532593      0.857113488018513E-02  0.107954237610102E-01
  0.846000015735626E-02 -0.693734586238861      0.864194706082344E-02  0.111890742555261E-01
  0.869499985128641E-02 -0.699959635734558      0.869720894843340E-02  0.115873711183667E-01
  0.892999954521656E-02 -0.706184744834900      0.875246990472078E-02  0.119856679812074E-01
  0.916500017046928E-02 -0.712409853935242      0.880773179233074E-02  0.123839667066932E-01
  0.939999986439943E-02 -0.718120634555817      0.885136146098375E-02  0.127860661596060E-01
  0.963499955832958E-02 -0.723697245121002      0.889195688068867E-02  0.131891584023833E-01
  0.987000018358231E-02 -0.729273855686188      0.893255323171616E-02  0.135922515764832E-01
  0.101049998775124E-01 -0.734599769115448      0.896787270903587E-02  0.139972036704421E-01
  0.103399995714426E-01 -0.739680826663971      0.899804010987282E-02  0.144039709120989E-01
  0.105750001966953E-01 -0.744761884212494      0.902820657938719E-02  0.148107400164008E-01
  0.108099998906255E-01 -0.749632179737091      0.905420817434788E-02  0.152190644294023E-01
  0.110449995845556E-01 -0.754355430603027      0.907730497419834E-02  0.156284738332033E-01
  0.112800002098083E-01 -0.759017467498779      0.909925159066916E-02  0.160383321344852E-01
  0.115149999037385E-01 -0.763504505157471      0.911790691316128E-02  0.164494737982750E-01
  0.117499995976686E-01 -0.767904281616211      0.913497433066368E-02  0.168612524867058E-01
  0.119850002229214E-01 -0.772173106670380      0.914969388395548E-02  0.172739811241627E-01
  0.122199999168515E-01 -0.776278257369995      0.916157942265272E-02  0.176878888159990E-01
  0.124549996107817E-01 -0.780377805233002      0.917336810380220E-02  0.181018374860287E-01
  0.126900002360344E-01 -0.784316182136536      0.918248482048512E-02  0.185169354081154E-01
  0.129249999299645E-01 -0.788152039051056      0.918990373611450E-02  0.189327597618103E-01
  0.131599996238947E-01 -0.791987955570221      0.919732265174389E-02  0.193485859781504E-01
  0.133950002491474E-01 -0.795788109302521      0.920418556779623E-02  0.197646599262953E-01
  0.136299999430776E-01 -0.799316942691803      0.920682959258556E-02  0.201826170086861E-01
  0.138649996370077E-01 -0.802845776081085      0.920947361737490E-02  0.206005740910769E-01
  0.141000002622604E-01 -0.806374669075012      0.921211857348680E-02  0.210185330361128E-01
  0.143349999561906E-01 -0.809903502464294      0.921476259827614E-02  0.214364901185036E-01
  0.145699996501207E-01 -0.813205003738403      0.921413488686085E-02  0.218559801578522E-01
  0.148050002753735E-01 -0.816427171230316      0.921236444264650E-02  0.222760066390038E-01
  0.150399999693036E-01 -0.819649338722229      0.921059399843216E-02  0.226960331201553E-01
  0.152749996632338E-01 -0.822871506214142      0.920882355421782E-02  0.231160577386618E-01
  0.155100002884865E-01 -0.826093673706055      0.920705311000347E-02  0.235360860824585E-01
  0.157450009137392E-01 -0.829090714454651      0.920230150222778E-02  0.239576864987612E-01
  0.159799996763468E-01 -0.832035064697266      0.919685326516628E-02  0.243796538561583E-01
  0.162150003015995E-01 -0.834979414939880      0.919140409678221E-02  0.248016230762005E-01
  0.164500009268522E-01 -0.837923765182495      0.918595585972071E-02  0.252235941588879E-01
  0.166849996894598E-01 -0.840868115425110      0.918050762265921E-02  0.256455596536398E-01
  0.169200003147125E-01 -0.843650639057159      0.917308870702982E-02  0.260687489062548E-01
  0.171549990773201E-01 -0.846360325813293      0.916478410363197E-02  0.264924820512533E-01
  0.173899997025728E-01 -0.849070012569427      0.915647950023413E-02  0.269162189215422E-01
  0.176250003278255E-01 -0.851779699325562      0.914817396551371E-02  0.273399557918310E-01
  0.178599990904331E-01 -0.854489326477051      0.913986936211586E-02  0.277636889368296E-01
  0.180949997156858E-01 -0.857057213783264      0.912996940314770E-02  0.281885918229818E-01
  0.183300003409386E-01 -0.859580039978027      0.911956187337637E-02  0.286138653755188E-01
  0.185649991035461E-01 -0.862102806568146      0.910915434360504E-02  0.290391352027655E-01
  0.187999997287989E-01 -0.864625573158264      0.909874681383371E-02  0.294644068926573E-01
  0.190350003540516E-01 -0.867094874382019      0.908777676522732E-02  0.298901647329330E-01
  0.192699991166592E-01 -0.869478225708008      0.907590333372355E-02  0.303166974335909E-01
  0.195049997419119E-01 -0.871861517429352      0.906402990221977E-02  0.307432319968939E-01
  0.197400003671646E-01 -0.874244868755341      0.905215647071600E-02  0.311697684228420E-01
  0.199749991297722E-01 -0.876544415950775      0.903944857418537E-02  0.315971225500107E-01
  0.202099997550249E-01 -0.878833472728729      0.902663636952639E-02  0.320245847105980E-01
